Using specified temperature=1.000000 and density=3.400000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.400, Temperature=  1.000
Density=  5.720 (gm/cm^3)  Temperature=119.400 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  49933555530796.41406 33289036806348.6562 336104441440208502652928.0000 321273.4310 26193597944.6624 113182729512839.8906 1142755100897065002074112.0000
      40  3208601284847.25098 2139065984405.6409 168062122188570173112320.0000 2308238.7895 13241254506.3638 7272855741138.5781 571411215441318574555136.0000
      60  -11.01675    1.2991 112041414792662369697792.0000  -12.9654 8827504108.0383  -61.3357 380940810295172151640064.0000
      80  338523635.36215 225659175.6467 84031061286009389973504.0000 34871.8920 6621260883.6553 767715871.4523 285705608372521975939072.0000
     100  101352.05990 67049.1363 67224849029006612234240.0000  778.3554 5297043242.3337 238696.5263 228564486698694514573312.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  1427837.80211 951898.2348 775266.3889   -9.5500  350.6411 3236435.0579 2640807.6096
      40  14198856367314.73047 9465904244885.6543 4732777059201.5293  -13.7491  170.6636 32184074432527.5977 16091442003726.1641
      60  1079001122093367.00000 719334081395587.1250 242933211837996.7500  -13.7477  109.2068 2445735876744912.5000 825972920250788.6250
      80  1079001122093421.37500 719334081395603.8750 362033429227396.4375   15.5456   82.1307 2445735876745375.5000 1230913659374377.5000
     100  1079001842834391.75000 719334561889603.3750 433493613600001.6875  -13.3435 1869.2328 2445737510424575.0000 1473878286265555.7500
     120  1079001842838525.50000 719334561892356.1250 481133771648581.9375   -8.5939 1555.9608 2445737510434001.5000 1635854823626464.5000
     140  1079001982105832.00000 719334654719320.0000 515162462599743.6875 26852.0551 3252.2713 2445737826411275.0000 1751552372883502.7500
     160  1079002985935707.37500 719335323957146.1250 540684070269384.0625  -11.8506 2844.1377 2445740101454241.5000 1838325838954724.7500
     180  1079002985940416.00000 719335323960286.5000 560534209568201.0625  -13.7245 2526.8298 2445740101464891.0000 1905816312566383.2500
     200  1079002986052299.37500 719335324034322.1250 576414321011106.2500  816.0883 2314.2642 2445740101727936.0000 1959808691469368.7500
     220  1079002986857701.75000 719335324571810.0000 589407139516625.5000  -13.2255 2102.6508 2445740103544078.5000 2003984274385253.7500
     240  1079002987619514.87500 719335325079685.7500 600234488294873.2500  -13.7405 1958.3247 2445740105270848.0000 2040797260229332.5000
     260  1079002987619514.87500 719335325079685.7500 609396091124474.2500  -13.7405 1806.6273 2445740105270848.0000 2071946709847910.5000
     280  1079002987619514.87500 719335325079685.7500 617248893549846.5000  -13.7447 1676.6009 2445740105270848.0000 2098646238092406.0000
     300  1079002987620642.50000 719335325080437.1250 624054655651889.6250  -13.2737 1563.9270 2445740105273409.5000 2121785829237818.7500
     320  1079002987620858.00000 719335325080571.5000 630009697491177.8750    0.6961 1465.7733 2445740105274061.0000 2142032971490063.0000
     340  2251673680451332997120.00000 1501115786967555244032.0000 49516668842346438656.0000   -6.6792 310622276.7328 5103793675689687777280.0000 168356674068202356736.0000
     360  2251673680451332997120.00000 1501115786967555244032.0000 130161064293746933760.0000   -9.8479 293365482.9261 5103793675689687777280.0000 442547618602729340928.0000
     380  2251673680451332997120.00000 1501115786967555244032.0000 202316576013421084672.0000  -13.4666 277925193.6602 5103793675689687777280.0000 687876358449411391488.0000
     400  2251673680451600646144.00000 1501115786967733764096.0000 267256536561136697344.0000  -13.7405 264028933.2902 5103793675690294902784.0000 908672224311455514624.0000
     420  2251718111658778820608.00000 1501145407772519301120.0000 326012444218707607552.0000  -13.7405 251456126.7916 5103894386426565885952.0000 1108442310347025678336.0000
     440  2251718111658779082752.00000 1501145407772519301120.0000 379427578925699104768.0000  -13.7405 240026302.2220 5103894386426565885952.0000 1290053768350641160192.0000
     460  2251718111658779082752.00000 1501145407772519301120.0000 428197919310343503872.0000  -13.7405 229590375.4410 5103894386426565885952.0000 1455872925658290323456.0000
     480  2251718111658784849920.00000 1501145407772523233280.0000 472904064662934323200.0000  -13.7405 220024149.9888 5103894386426578468864.0000 1607873819856968876032.0000
     500  2251718111658784849920.00000 1501145407772523233280.0000 514033718387317866496.0000  -13.7405 211223183.4397 5103894386426578468864.0000 1747714642519753228288.0000
Average temperature=514033718387317866496.000000 (61375625975445755789312.000000 K)
Average pressure=1747714642519753228288.000000
Diffusion constant from vel autocorr=726545510885149769728.000000 (reduced units)
Diffusion constant from vel autocorr=39059086665185650278400.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.030 minutes
Total run time=0.034 minutes
