Using specified temperature=1.000000 and density=3.600000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.600, Temperature=  1.000
Density=  6.057 (gm/cm^3)  Temperature=119.400 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  42345803151.84904 28230317421.4925 10117879516106882784690176.0000 327019.6103 173033016748.7185 101633853169.0946 36424366257987266528935936.0000
      40  1052683.07899 701683.6631 5058939800506482988941312.0000  157.5843 86527981653.2874 2528503.4514 18212183281824583441711104.0000
      60  8958477110840996659200.00000 5972318073858770862080.0000 3372726072314583521951744.0000 52840119646.5927 58566175625.8513 21500345066652474277888.0000 12141813860333343995854848.0000
      80  139838877711.13995 93225550881.6859 2530135390155120975020032.0000 551388.6112 43926412936.4171 335619924538.8657 9108487404559068158754816.0000
     100  124903.76408 83229.3467 2024108443629533981048832.0000   59.7441 35152560803.0322 300631.4878 7286790397066828815794176.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  12172056586373703680.00000 8114704390915802112.0000 8114704390915513344.0000  -15.4775  415.6220 29212935807296888832.0000 29212935807295856640.0000
      40  12172056586373703680.00000 8114704390915802112.0000 8114704390915657728.0000   -4.9190  202.7895 29212935807296888832.0000 29212935807296372736.0000
      60  12172056586373795840.00000 8114704390915863552.0000 8114704390915718144.0000  -14.0317  177.9919 29212935807297110016.0000 29212935807296589824.0000
      80  12172056586373795840.00000 8114704390915863552.0000 8114704390915755008.0000  -14.8492  130.0352 29212935807297110016.0000 29212935807296720896.0000
     100  12172056586373795840.00000 8114704390915863552.0000 8114704390915776512.0000  -14.1081  101.2208 29212935807297110016.0000 29212935807296794624.0000
     120  12172056586373844992.00000 8114704390915896320.0000 8114704390915795968.0000  -13.5703   83.3938 29212935807297228800.0000 29212935807296864256.0000
     140  12172056586373826560.00000 8114704390915884032.0000 8114704390915808256.0000  -13.9659   69.4018 29212935807297183744.0000 29212935807296909312.0000
     160  12172056588756086784.00000 8114704392504057856.0000 8114704391027141632.0000  889.4344 2076.4827 29212935813014622208.0000 29212935807697739776.0000
     180  12172056588908677120.00000 8114704392605785088.0000 8114704391199588352.0000  -15.4098 1844.1652 29212935813380825088.0000 29212935808318545920.0000
     200  12172056588929091584.00000 8114704392619394048.0000 8114704391341568000.0000   95.7021 1663.7636 29212935813429817344.0000 29212935808829669376.0000
     220  12172087370242138112.00000 8114724913494756352.0000 8114705324234071040.0000 4013.2118 1695.0810 29213009688581181440.0000 29212939167242682368.0000
     240  12172087370267359232.00000 8114724913511571456.0000 8114706956673847296.0000 1830.3746 1629.4482 29213009688641683456.0000 29212945044025872384.0000
     260  12172087370271879168.00000 8114724913514586112.0000 8114708337969288192.0000  -15.4001 1502.9214 29213009688652509184.0000 29212950016689459200.0000
     280  12172087370271879168.00000 8114724913514586112.0000 8114709521936809984.0000  -15.4001 1394.4699 29213009688652509184.0000 29212954278972538880.0000
     300  12172087370271879168.00000 8114724913514586112.0000 8114710548041994240.0000  -15.4001 1300.4785 29213009688652509184.0000 29212957972951199744.0000
     320  12172087370271879168.00000 8114724913514586112.0000 8114711445884029952.0000  -15.4001 1218.2361 29213009688652509184.0000 29212961205182525440.0000
     340  12172087370271879168.00000 8114724913514586112.0000 8114712238097591296.0000  -15.4001 1145.6693 29213009688652509184.0000 29212964057151348736.0000
     360  12172087370271879168.00000 8114724913514586112.0000 8114712942287422464.0000  -15.4001 1081.1654 29213009688652509184.0000 29212966592234737664.0000
     380  12172087370271879168.00000 8114724913514586112.0000 8114713572352009216.0000  -15.4001 1023.4514 29213009688652509184.0000 29212968860467249152.0000
     400  12172087370271879168.00000 8114724913514586112.0000 8114714139410137088.0000  -15.4001  971.5089 29213009688652509184.0000 29212970901876510720.0000
     420  12172087370271879168.00000 8114724913514586112.0000 8114714652462728192.0000  -15.4001  924.5132 29213009688652509184.0000 29212972748865835008.0000
     440  12172087370271879168.00000 8114724913514586112.0000 8114715118874176512.0000  -15.4001  881.7899 29213009688652509184.0000 29212974427947048960.0000
     460  12172087370271879168.00000 8114724913514586112.0000 8114715544728105984.0000  -15.4001  842.7816 29213009688652509184.0000 29212975961021194240.0000
     480  12172087382410651648.00000 8114724921607101440.0000 8114715935524502528.0000  -15.4001  807.0240 29213009717785567232.0000 29212977367888220160.0000
     500  12172087382410651648.00000 8114724921607101440.0000 8114716294967806976.0000  -15.4001  774.1271 29213009717785567232.0000 29212978661884116992.0000
Average temperature=8114716294967806976.000000 (968897125619156254720.000000 K)
Average pressure=29212978661884116992.000000
Diffusion constant from vel autocorr=12983411400580784128.000000 (reduced units)
Diffusion constant from vel autocorr=697988196895222923264.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.031 minutes
Total run time=0.035 minutes
