Using specified temperature=1.200000 and density=3.400000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.400, Temperature=  1.200
Density=  5.720 (gm/cm^3)  Temperature=143.280 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  5300281422209553006592.00000 3533520948112054026240.0000 18258586214548354629632.0000 41472695492.9727 9959874248.0625 12013971224145013243904.0000 62079193129599862046720.0000
      40  21789021323103.98438 14526010456706.2598 9828427050367236177920.0000 5638044.5935 4980687473.6394 49388512234042.5391 33416651971316338917376.0000
      60  860439241.13431 573624497.3495 6552284702170666762240.0000 2495.1101 3320471084.2946 1950357408.9334 22277767987425427062784.0000
      80  16022094185.33784 10681251202.9774 4914213526628134289408.0000 217380.8717 2490356047.3614 36319211375.0178 16708325990569525379072.0000
     100  -6.32954    1.5803 10159446860700047119391889988876316442624.0000   -8.7001 418522739928498880.0000    1.7369 34542119326380159480576934193401971081216.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  6928.48849 4476.6030 2241.3855  213.5840  102.4748 18258.8836 9138.2732
      40  54851.64485 36573.7795 19402.4088   -9.0244   47.2068 124340.3971 66728.5463
      60  146026609163.01785 97351072452.8198 16225377034.0840  483.7882  587.9958 330993653073.2200 55166290048.7226
      80  96421757368.05026 64281171578.0129 28068403832.0934    1.0309 4323.2027 218555983495.6618 95432631984.0264
     100  96432968678.70898 64288645770.4225 35312452204.4849   23.0753 3461.2481 218581396050.3177 120062384718.6805
     120  96434142193.85060 64289428137.5297 40141921319.6112  -12.4439 2945.3182 218584055603.9323 136482572688.8032
     140  104037896774.16656 69358597840.5712 44315732249.5493   13.3097 2524.5439 235819232949.2501 150673524122.5614
     160  219660792476.13730 146440528326.5852 52263711125.9242  -13.7405 2207.2583 497897796226.7204 177696647982.5157
     180  178540597498.54041 119027065008.1873 59681861557.2868  -13.7405 1960.4807 404692020944.1674 202918356089.3660
     200  178540597498.54041 119027065008.1873 65616381902.3768  -13.7405 1763.0586 404692020944.1674 223095722574.8461
     220  178540597498.54041 119027065008.1873 70471898548.3596  -13.7405 1601.5314 404692020944.1674 239604476972.0571
     240  178540597498.54041 119027065008.1873 74518162420.0119  -13.7405 1466.9254 404692020944.1674 253361772303.0664
     260  178540597498.54041 119027065008.1873 77941924157.5639  -13.7405 1353.0280 404692020944.1674 265002560660.0742
     280  178540597498.54041 119027065008.1873 80876577075.4656  -13.7405 1255.4017 404692020944.1674 274980379251.7951
     300  178540597498.54041 119027065008.1873 83419942937.6470  -13.7405 1170.7922 404692020944.1674 283627822031.2866
     320  178540597498.53290 119027065008.1876 85645388067.0558  -13.7485 1096.7587 404692020944.1388 291194334463.3408
     340  178540597498.53705 119027065007.0166 87609016122.3820  -11.9878 1031.4867 404692020965.8870 297870668962.8518
     360  178540597498.41644 119027065008.0688 89354463282.6850  -13.6868  973.4435 404692020945.0677 303805188517.7181
     380  178584422416.83337 119056272881.0081 90916947791.2043 13095.3212 1266.4635 404791506145.4107 309117639834.9642
     400  178901001407.18762 119267334280.6188 92334467115.6732  -13.7405 1202.4558 405508936470.4344 313937204666.7802
     420  178901001407.18127 119267334280.6089 93616984599.7180  -13.7321 1144.5417 405508936471.0388 318297763324.1118
     440  178901001407.20279 119267334280.6289 94782909585.2140  -13.7405 1091.8921 405508936470.4688 322261907558.0359
     460  178901001407.19388 119267334280.6290 95847449789.3625  -13.7496 1043.8210 405508936470.4525 325881343597.7066
     480  178901001407.17703 119267334280.6255 96823278309.8319  -13.7613  999.7550 405508936470.6828 329199159967.4100
     500  178901001407.18484 119267334280.6292 97721040548.6625  -13.7589  959.2162 405508936470.4556 332251551027.5651
Average temperature=97721040548.662491 (11667892241510.302734 K)
Average pressure=332251551027.565063
Diffusion constant from vel autocorr=163246412924.244904 (reduced units)
Diffusion constant from vel autocorr=8776127158807.406250 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.032 minutes
Total run time=0.036 minutes
