Using specified temperature=1.000000 and density=4.000000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  4.000, Temperature=  1.000
Density=  6.730 (gm/cm^3)  Temperature=119.400 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  22523709.57484 15009111.6486 694664240195995125300592640.0000 10042.1020 836257939306.7979 60197556.0152 2778656960783993695341903872.0000
      40  2248.72071 1421.6187 347332152215741218064171008.0000  116.2927 418367385531.2604 7755.0955 1389328608862971469326450688.0000
      60  11306394.87383 7536085.1457 231554768143831246827421696.0000 2267.1552 278911711699.5271 30180955.4194 926219072575329385356197888.0000
      80  2054540159136.15479 1369692185489.4080 173666076107873460890370048.0000 1880902.0427 209183808354.2231 5478798838799.4258 694664304431497142096363520.0000
     100  647103070.29979 431370965.4418 138933122458134510995243008.0000 46622.1371 167727714254.9309 1726230441.1597 555732489832540724040564736.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  5325582881.67254 3550388597.7191 3550383784.5807  -14.9061  -15.0015 14201554335.4859 14201535082.0926
      40  63530752532.11676 42353835033.9015 14430081779.2021  -18.7354 35737.2442 169415340013.1699 57720899275.7828
      60  63530866442.20229 42353910972.8232 23738012186.0196  -17.0326 23818.8594 169415643798.1504 94952430147.3605
      80  63530826233.38688 42353884167.4221 28391980181.2742  -17.7462 17859.6185 169415536564.7356 113568206749.8179
     100  91523600181.10103 61015733464.7333 33050545914.0321  -15.9989 14287.2470 244062933783.1453 132202412505.6387
     120  91566552577.51889 61044368394.2439 37713796750.4947  -13.8469 11903.9429 244177473535.8365 150855377706.6558
     140  91566152331.94972 61044101567.1919 41046697438.5720  -18.8382 10200.6899 244176406144.5522 164186953197.7147
     160  91566196903.49889 61044131256.4717 43546375035.7364   18.7913 8938.3851 244176525518.8928 174185643384.9319
     180  91778377680.33281 61185585132.7941 45499383576.5558  -18.8583 8513.4425 244742340405.7116 181997670752.0808
     200  91778377680.29628 61185585132.7692 47068003732.1779  -18.8575 7660.2124 244742340405.9275 188272137717.4528
     220  91778377684.97258 61185585135.8876 48351420223.4411  -18.8588 6962.1185 244742340418.3706 193405792508.5826
     240  91778377684.97264 61185585135.8935 49420933966.1455  -18.8676 6380.3701 244742340418.1113 197683838167.7099
     260  401609664261.53461 267739776186.9286 58270299096.5508  -18.8583 5888.1217 1070959104622.2498 233081290810.2086
     280  401609664261.53461 267739776186.9286 73232404603.0064  -18.8583 5466.1946 1070959104622.2498 292929706082.4973
     300  401609664261.53461 267739776186.9286 86199562708.6012  -18.8583 5100.5244 1070959104622.2498 344798332651.8141
     320  401609664261.53461 267739776186.9286 97545826050.9967  -18.8583 4780.5630 1070959104622.2498 390183380899.9664
     340  401609664261.53461 267739776186.9286 107557234882.5220  -18.8583 4498.2441 1070959104622.2498 430229011707.1594
     360  401609664261.53461 267739776186.9286 116456264954.9891  -18.8583 4247.2939 1070959104622.2498 465825127980.2200
     380  401609664261.53461 267739776186.9286 124418555019.8280  -18.8583 4022.7596 1070959104622.2498 497674284645.5899
     400  401609664261.54736 267739776186.9432 131584616078.1832  -18.8675 3820.6792 1070959104622.2946 526338525644.4460
     420  401609664261.55603 267739776186.9429 138068195130.9812  -18.8583 3637.8441 1070959104622.3069 552272838929.1061
     440  401609664261.55603 267739776186.9429 143962357906.2522  -18.8583 3471.6303 1070959104622.3069 575849487369.7062
     460  401609664261.55603 267739776186.9429 149343984788.0214  -18.8583 3319.8700 1070959104622.3069 597375992467.6454
     480  401609664261.55603 267739776186.9429 154277142762.9765  -18.8583 3180.7563 1070959104622.3069 617108622140.7563
     500  401609664261.55548 267739776186.9425 158815648099.9349  -18.8583 3052.7719 1070959104622.3054 635262641440.0271
Average temperature=158815648099.934906 (18962588383132.230469 K)
Average pressure=635262641440.027100
Diffusion constant from vel autocorr=259115051479.509491 (reduced units)
Diffusion constant from vel autocorr=13930025167538.431641 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.030 minutes
Total run time=0.034 minutes
