Using specified temperature=1.000000 and density=3.200000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.200, Temperature=  1.000
Density=  5.384 (gm/cm^3)  Temperature=119.400 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  207919899.75202 138588354.4923 10115649762070697984.0000 37368.0136 203698397.9525 443961693.1648 32370079241233580032.0000
      40  45325.56077 29807.2142 5058229814648557568.0000  614.7395 103157958.3651 103398.8788 16186335408195811328.0000
      60   4.34000    4.6260 3372226922823145984.0000   -2.5990 69250390.5254   77.4247 10791126153920475136.0000
      80  1090.49473  713.6953 2529170192164006400.0000   19.9518 51938363.7637 2642.0718 8093344615589634048.0000
     100  1251009348616159359926272.00000 834006232410428593405952.0000 8342085660258016952320.0000 516385932286.7170 5205410126.7327 2668819943719981346193408.0000 26694674112892284960768.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  10293856388348519242530816.00000 6862570925565679495020544.0000 6862570925565679495020544.0000 16812.1924 8401.8338 21960226961810175243059200.0000 21960226961810175243059200.0000
      40  10293856388720117665497088.00000 6862570925813412134912000.0000 6862570925627613997170688.0000 20691748.8687 5177137.9580 21960226962602918831718400.0000 21960226962008366508933120.0000
      60  10293856391406138672807936.00000 6862570927604092448538624.0000 6862570926286439431798784.0000  -11.9792 3451421.2838 21960226968333096694317056.0000 21960226964116607040749568.0000
      80  10293856391406138672807936.00000 6862570927604092448538624.0000 6862570926615851612241920.0000  -10.3199 2588563.2067 21960226968333096694317056.0000 21960226965170725159174144.0000
     100  10293856391406138672807936.00000 6862570927604092448538624.0000 6862570926813499564752896.0000 15887.2729 2072462.6233 21960226968333096694317056.0000 21960226965803197748215808.0000
     120  10293856391406142967775232.00000 6862570927604095669764096.0000 6862570926945264866426880.0000    6.6269 1727051.7929 21960226968333105284251648.0000 21960226966224847572566016.0000
     140  10309091780124173704101888.00000 6872727853416115802734592.0000 6863384590898501339054080.0000  -11.9920 1824617651.1862 21992729130931573145731072.0000 21962830690875230054776832.0000
     160  10309091780124173704101888.00000 6872727853416115802734592.0000 6864552498713201402183680.0000  -12.1478 1596540443.2884 21992729130931573145731072.0000 21966567995882265961824256.0000
     180  10309091780403855531966464.00000 6872727853602569996730368.0000 6865460871468326863241216.0000  -12.1464 1419147065.1946 21992729131528225707524096.0000 21969474788698662283247616.0000
     200  10309091780403855531966464.00000 6872727853602569996730368.0000 6866187569681750317596672.0000  -12.1735 1277232357.4587 21992729131528225707524096.0000 21971800222981620773158912.0000
     220  10309091780403855531966464.00000 6872727853602569996730368.0000 6866782140947278403207168.0000  -11.5566 1161120323.8838 21992729131528225707524096.0000 21973702851031305493151744.0000
     240  10309091780403855531966464.00000 6872727853602569996730368.0000 6867277617001886572871680.0000  -12.1856 1064360295.8822 21992729131528225707524096.0000 21975288374406049918091264.0000
     260  10309091780403855531966464.00000 6872727853602569996730368.0000 6867696865971170078359552.0000  890.6449 982486464.2938 21992729131528225707524096.0000 21976629971107759712632832.0000
     280  10309091780403855531966464.00000 6872727853602569996730368.0000 6868056222230554406289408.0000  -11.8888 912308858.9455 21992729131528225707524096.0000 21977779911137784408047616.0000
     300  10309091780403855531966464.00000 6872727853602569996730368.0000 6868367664322020680663040.0000  -10.2112 851488267.9223 21992729131528225707524096.0000 21978776525830479063023616.0000
     320  10309091780403855531966464.00000 6872727853602569996730368.0000 6868640176152054207610880.0000  -11.5801 798270250.4349 21992729131528225707524096.0000 21979648563686586349256704.0000
     340  10309091780403855531966464.00000 6872727853602569996730368.0000 6868880627766790872629248.0000   31.1706 751313177.6270 21992729131528225707524096.0000 21980418008853741100335104.0000
     360  10309091780461317899419648.00000 6872727853640878957527040.0000 6869094362536510360649728.0000  -11.4016 709573556.0835 21992729131650812664086528.0000 21981101960116843462000640.0000
     380  10309091780461317899419648.00000 6872727853640878957527040.0000 6869285598910423593123840.0000    0.8902 672227579.5194 21992729131650812664086528.0000 21981713916513368382898176.0000
     400  10309091780461425273602048.00000 6872727853640949824487424.0000 6869457711646950119440384.0000  -12.0565 638616199.9376 21992729131651040297353216.0000 21982264677270249831137280.0000
     420  10309091780461425273602048.00000 6872727853640949824487424.0000 6869613432694280984461312.0000    4.2999 608205904.5236 21992729131651040297353216.0000 21982762984621706022223872.0000
     440  10309091780461425273602048.00000 6872727853640949824487424.0000 6869754997282765736509440.0000  -12.1464 580560181.0384 21992729131651040297353216.0000 21983215991304858946764800.0000
     460  10309091780461425273602048.00000 6872727853640949824487424.0000 6869884251907033489473536.0000  -12.1545 555318433.5085 21992729131651040297353216.0000 21983629606102514897256448.0000
     480  10309091780461425273602048.00000 6872727853640949824487424.0000 6870002735312614589464576.0000  -12.1464 532180326.2646 21992729131651040297353216.0000 21984008753000374417227776.0000
     500  10309091780461425273602048.00000 6872727853640949824487424.0000 6870111740045745765482496.0000  -12.1464 510893112.7282 21992729131651040297353216.0000 21984357568146394180485120.0000
Average temperature=6870111740045745765482496.000000 (820291341761462097441456128.000000 K)
Average pressure=21984357568146394180485120.000000
Diffusion constant from vel autocorr=10993136295627496290779136.000000 (reduced units)
Diffusion constant from vel autocorr=590991007252934217084960768.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.030 minutes
Total run time=0.034 minutes
