Using specified temperature=1.200000 and density=3.200000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.200, Temperature=  1.200
Density=  5.384 (gm/cm^3)  Temperature=143.280 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  23565631.99199 15688483.5708 16528561028160923648.0000 32906.6357 444875741.5902 50625281.3521 52891395295809380352.0000
      40  4875179.54996 3248858.1023 131636104344842141696.0000 1892.3965 663445296.1300 10420799.4451 421235533911986995200.0000
      60  10740953.64082 7154944.4603 92603353382840915798559555584.0000 8536.9504 4423057435033.7705 23005374.5058 296330730825090986850385920000.0000
      80  114230007125543452672.00000 76153338083695640576.0000 69452515044642818570722476032.0000  754.4898 3317377289746.7031 243690681867826069504.0000 222248048142857082758181683200.0000
     100  5685.19967 3647.6537 55562012035840969613437304832.0000  213.7191 2653901832043.4712 14523.3749 177798438514691130910497046528.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  1057725434947.93018 705150258905.6296 569320711081.1542 46589.4857 241457.0710 2256481425277.8750 1821829366831.0095
      40  1394051745924385.25000 929367830580126.5000 232803684884185.4688 54195.3967 134285.8103 2973977058550479.5000 744971793348729.1250
      60  1394058598310492.00000 929372398873669.5000 464993256214013.4375  -12.1789 89519.9568 2973991676395672.0000 1487978421031045.5000
      80  1394058598310493.00000 929372398873669.3750 581088041878927.3750  -11.1248 67137.0566 2973991676395688.5000 1859481734872203.7500
     100  1394058598310493.00000 929372398873670.0000 650744913277875.8750  -12.0894 53707.2229 2973991676395677.0000 2082383723176898.0000
     120  1394058598310493.75000 929372398873670.5000 697182827543841.6250  -12.1230 44754.0352 2973991676395679.0000 2230985048713362.0000
     140  1394058598310494.00000 929372398873670.5000 730352766305245.6250  -11.8727 38359.0425 2973991676395682.0000 2337128852667981.0000
     160  1394058598310494.00000 929372398873669.3750 755230220376298.6250  -10.0721 33562.8280 2973991676395706.5000 2416736705633945.5000
     180  1394058598310660.25000 929372398873754.1250 774579351320455.6250   28.9147 29834.6048 2973991676396481.0000 2478653924607516.5000
     200  1438973133210200.25000 959315422140138.6250 793870226157132.5000   -7.6590 38801.2799 3069809350848434.5000 2540384724199677.5000
     220  1438982387913513.00000 959321591942350.0000 808910978964782.0000  -12.0956 35272.8136 3069829094215451.0000 2588515133138981.5000
     240  1438982387919351.25000 959321591946242.0000 821445196713136.3750  -11.8641 32332.6621 3069829094227909.0000 2628624629896073.5000
     260  1439001232155189.25000 959334154770134.3750 832051556468657.5000  -12.1464 29844.6045 3069869295264359.5000 2662564981081886.5000
     280  1439001232155189.25000 959334154770134.3750 841143170633048.6250  -12.1557 27711.9791 3069869295264359.5000 2691658146380634.5000
     300  1439001232155187.00000 959334154770132.6250 849022569575521.0000  -12.0012 25863.7086 3069869295264357.0000 2716872222972883.0000
     320  1439001232208906.50000 959334154805945.8750 855917043651306.3750  -12.1620 24247.4336 3069869295378956.0000 2738934539994703.5000
     340  1439001232208906.75000 959334154805945.6250 862000403130991.1250  -11.6904 22820.4125 3069869295378962.0000 2758401290311424.5000
     360  1439001232254978.00000 959334154836660.1250 867407833780569.8750  -12.1464 21557.5263 3069869295477242.0000 2775705068373908.5000
     380  1439001232254978.00000 959334154836660.1250 872246061204574.6250  -12.1541 20422.2807 3069869295477242.0000 2791187396116189.0000
     400  1439001232254978.00000 959334154836660.1250 876600465886179.0000  -12.1447 19400.5594 3069869295477242.0000 2805121491084242.0000
     420  1439001232254978.25000 959334154836660.3750 880540165360011.3750  -12.1464 18476.1446 3069869295477242.5000 2817728529388670.5000
     440  1439001232254979.00000 959334154836659.3750 884121710336222.6250   -9.9192 17635.8184 3069869295477270.0000 2829189473301788.0000
     460  1439001232258603.75000 959334154838965.1250 887391816618900.5000  156.0864 16872.1728 3069869295486788.0000 2839653813396580.5000
     480  1439001232283898.00000 959334154855940.1250 890389414045444.0000  -12.1554 16168.6593 3069869295538938.0000 2849246125152512.5000
     500  1439001232283898.00000 959334154855940.1250 893147203677863.6250  -12.1464 15521.4269 3069869295538938.0000 2858071051967969.0000
Average temperature=893147203677863.625000 (106641776119136928.000000 K)
Average pressure=2858071051967969.000000
Diffusion constant from vel autocorr=1499374360240222.250000 (reduced units)
Diffusion constant from vel autocorr=80606365606514336.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.032 minutes
Total run time=0.036 minutes
