Using specified temperature=1.200000 and density=3.000000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.000, Temperature=  1.200
Density=  5.047 (gm/cm^3)  Temperature=143.280 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  1304206078104759435264.00000 869470718722024407040.0000 150270517080124395384110841856.0000 21722798162.8700 9997259255621.9277 2608412156426747117568.0000 450811551240373256521076703232.0000
      40  45865338724.30983 30576674715.8717 75135258712093572580771889152.0000 326650.5022 4998629659139.3457 91733944742.1497 225405776136280779314966822912.0000
      60  3279.59635 2056.8339 50090172474729045455150252032.0000  194.3455 3332419772810.0054 8604.6445 150270517424187197938101911552.0000
      80  229368831.62382 152893283.0220 37567629356046786290385944576.0000 28907.0908 2499314939047.9165 459027044.3513 112702888068140389657483411456.0000
     100  -8.65789    1.2407 30054103484837560094094786560.0000  -10.5189 1999452416887.4832  -47.8448 90162310454512702272516915200.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  93206788368821216.00000 62137858912547200.0000 31068929456273772.0000  420.9963  265.5330 186413576737646752.0000 93206788368824608.0000
      40  3879436474501304320.00000 2586290983000869376.0000 1660127420651321600.0000    8.9865  148.4945 7758872949002608640.0000 4980382261953967104.0000
      60  3879436474502011904.00000 2586290983001341440.0000 1968848608101320448.0000   -9.7618   97.5173 7758872949004023808.0000 5906545824303963136.0000
      80  3879436474502029312.00000 2586290983001352704.0000 2123209201826326784.0000   -7.0720   86.7733 7758872949004058624.0000 6369627605478981632.0000
     100  3879436474547511296.00000 2586290983031665152.0000 2215825558064362752.0000 13325.9680 1400.9535 7758872949095155712.0000 6647476674193104896.0000
     120  3880337908164116480.00000 2586891938776077824.0000 2277619875222538496.0000  -10.6294 1201.9815 7760675816328232960.0000 6832859625667630080.0000
     140  3880337908164116480.00000 2586891938776077824.0000 2321801598587330048.0000  -10.5157 1028.7589 7760675816328232960.0000 6965404795762001920.0000
     160  3880337908164116480.00000 2586891938776077824.0000 2354937891110923776.0000  -10.6294  898.8348 7760675816328232960.0000 7064813673332782080.0000
     180  3880337908164116480.00000 2586891938776077824.0000 2380710563073718784.0000  -10.6294  797.7832 7760675816328232960.0000 7142131689221165056.0000
     200  3880337908164116480.00000 2586891938776077824.0000 2401328700643955200.0000  -10.2412  716.9614 7760675816328232960.0000 7203986101931874304.0000
     220  3880337908164116480.00000 2586891938776077824.0000 2418198085928693248.0000  -10.6288  650.8245 7760675816328232960.0000 7254594257786087424.0000
     240  3880337908164116480.00000 2586891938776077824.0000 2432255906999308800.0000  -10.4619  595.7088 7760675816328232960.0000 7296767720997934080.0000
     260  3880337908164116480.00000 2586891938776077824.0000 2444150986366752256.0000  -10.5663  549.0684 7760675816328232960.0000 7332452959100262400.0000
     280  3880337908164116480.00000 2586891938776077824.0000 2454346768681703936.0000  -10.6937  509.0855 7760675816328232960.0000 7363040306045118464.0000
     300  3880337908164116480.00000 2586891938776077824.0000 2463183113354661888.0000  -10.6735  474.4350 7760675816328232960.0000 7389549340063991808.0000
     320  3880337908164116480.00000 2586891938776077824.0000 2470914914943499776.0000  -10.5976  444.1168 7760675816328232960.0000 7412744744830504960.0000
     340  3880337908164116480.00000 2586891938776077824.0000 2477737092816004608.0000   37.2159  418.7720 7760675816328232960.0000 7433211278448018432.0000
     360  3880337908987106816.00000 2586891939324738048.0000 2483801250955378688.0000  -10.5748  394.9228 7760675817974214656.0000 7451403752866140160.0000
     380  3880337908987106816.00000 2586891939324738048.0000 2489227076659029504.0000  -10.6304  373.5808 7760675817974214656.0000 7467681229977093120.0000
     400  3880337908987106816.00000 2586891939324738048.0000 2494110319792314880.0000  -10.5873  354.3738 7760675817974214656.0000 7482330959376949248.0000
     420  3880337909016230400.00000 2586891939344146432.0000 2498528492151463936.0000 10846.4631  595.5900 7760675818032570368.0000 7495585476454400000.0000
     440  3880337909226988544.00000 2586891939484658176.0000 2502545012484785664.0000 1638.3501  605.5149 7760675818453994496.0000 7507635037454364672.0000
     460  3880337909229280768.00000 2586891939486187008.0000 2506212270180498944.0000  -10.6740  578.7385 7760675818458560512.0000 7518636810541504512.0000
     480  3880337909229280768.00000 2586891939486187008.0000 2509573923068236800.0000  -10.5479  554.2098 7760675818458560512.0000 7528721769204716544.0000
     500  3880337909229280768.00000 2586891939486187008.0000 2512666643724955136.0000  -10.6605  531.6239 7760675818458560512.0000 7537999931174871040.0000
Average temperature=2512666643724955136.000000 (300012397260759629824.000000 K)
Average pressure=7537999931174871040.000000
Diffusion constant from vel autocorr=4098699559208847872.000000 (reduced units)
Diffusion constant from vel autocorr=220346088303067660288.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.031 minutes
Total run time=0.035 minutes
