Using specified temperature=1.200000 and density=3.600000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.600, Temperature=  1.200
Density=  6.057 (gm/cm^3)  Temperature=143.280 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  8225168362116067.00000 5483445517120072.0000 38060942781549546584408064.0000 86435958.7929 230094551011.8987 19740405106323480.0000 137019394013581673110700032.0000
      40  1183459888.91621 788914664.7352 19030471391859920401858560.0000 87891.8134 115047349837.7489 2841359462.2200 68509697010697367009099776.0000
      60  56934728189.48489 37956483567.6094 12686990818124485537824768.0000 2838.0708 76808885225.3940 136643381999.0078 45673166945249252601757696.0000
      80  28320908.98893 18871235.2472 9515243113593378112012288.0000 14056.1181 57606672345.1373 68139280.4136 34254875208936993138409472.0000
     100  94558.72431 63009.0279 7612194490874730836393984.0000   45.1824 46085350181.8797 227640.1569 27403900167149695012962304.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  8468502578095.98633 5645668385405.4092 5644114438205.5049  -12.1265 22716.9648 20324406187414.0977 20318812304951.2227
      40  8468538297425.04688 5645692198293.6318 5644897377622.2568  -15.4001 11442.0014 20324491913760.6406 20321630724419.2734
      60  8468538282506.02344 5645692188347.3750 5645162314530.5098  -15.0390 7623.1547 20324491877962.6445 20322584442269.1016
      80  8468538284697.74414 5645692189711.8828 5645294783155.2783  129.9203 5731.7412 20324491884982.5000 20323061302070.1562
     100  8468538362671.84570 5645692241774.5674 5645374271160.9834    9.9954 4609.1044 20324492070666.7266 20323347442718.2578
     120  8468540828456.17676 5645693885647.6025 5645427540235.5244  -15.2266 3838.3901 20324497988238.1680 20323539200281.4219
     140  8468572377977.15918 5645714918661.7119 5645468594296.4092  -15.4079 3287.8468 20324573707085.2109 20323686986967.6680
     160  8468572584620.25488 5645715056423.7822 5645499394513.0654  -15.4181 2900.8974 20324574203028.4141 20323797862173.5547
     180  8468572584620.28516 5645715056423.7900 5645523356947.5889  -15.4001 2576.8649 20324574203028.4180 20323884122268.5664
     200  20615567490584132.00000 13743711660389432.0000 776027996422421.6250  -15.4086 2498161.8812 49477361977401856.0000 2793700823094886.5000
     220  20615567490584136.00000 13743711660389434.0000 1954908329510331.7500  -15.4001 2271054.8568 49477361977401864.0000 7037670018940975.0000
     240  20615567490584132.00000 13743711660389432.0000 2937308607083590.5000  -15.4051 2081799.0104 49477361977401856.0000 10574311015479384.0000
     260  20615567490584132.00000 13743711660389432.0000 3768570380414808.5000  -15.2246 1921659.4485 49477361977401864.0000 13566853397165726.0000
     280  20615567490584128.00000 13743711660389430.0000 4481080471841567.5000  -15.3470 1784396.9610 49477361977401848.0000 16131889724325450.0000
     300  20615567490584128.00000 13743711660389430.0000 5098589217744757.0000  -15.2342 1665436.1579 49477361977401856.0000 18354921207863872.0000
     320  20615567490584128.00000 13743711660389430.0000 5638909370410049.0000  -15.2120 1561345.4510 49477361977401856.0000 20300073755960000.0000
     340  20615567490584128.00000 13743711660389430.0000 6115662446291188.0000  -15.4429 1469500.6982 49477361977401848.0000 22016384827809512.0000
     360  20615567490584128.00000 13743711660389430.0000 6539442958185535.0000  -15.3878 1387860.9148 49477361977401848.0000 23541994669453536.0000
     380  20615567490584132.00000 13743711660389432.0000 6918614995143633.0000  -15.2954 1314814.7966 49477361977401856.0000 24907014001450808.0000
     400  20615567490589940.00000 13743711660393302.0000 7259869828406031.0000  -13.3926 1249075.1695 49477361977415824.0000 26135531400248776.0000
     420  20615573545617992.00000 13743715697069158.0000 7568624297469604.0000 14254.2462 1189936.6101 49477376509654512.0000 27247047488026036.0000
     440  20615573926529392.00000 13743715951019606.0000 7849310281721876.0000  -15.4001 1135847.8823 49477377423670480.0000 28257517030555324.0000
     460  20615573926529392.00000 13743715951019606.0000 8105588789082645.0000  -15.4001 1086462.5222 49477377423670480.0000 29180119656342936.0000
     480  20615573926529392.00000 13743715951019606.0000 8340510754163352.0000  -15.4001 1041192.6088 49477377423670480.0000 30025838729981584.0000
     500  20615573926529392.00000 13743715951019606.0000 8556638962037601.0000  -15.4001 999544.2884 49477377423670480.0000 30803900277729136.0000
Average temperature=8556638962037601.000000 (1021662692067289600.000000 K)
Average pressure=30803900277729136.000000
Diffusion constant from vel autocorr=14351574240700656.000000 (reduced units)
Diffusion constant from vel autocorr=771540631180067200.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.033 minutes
Total run time=0.037 minutes
